FID; LONGITUDE1(deg); LATITUDE1(deg); LONGITUDE2(deg); LATITUDE2(deg); TETADEG(DEG); LONGEUR(Km)
185; -7.75849232; 9.40260626; -7.83829973; 9.39202609; 262.35326290277; 8.8704665708753
186; -7.72408715; 9.39814310; -7.76288833; 9.39556824; 266.15508110463; 4.2847277414232
187; -7.37662885; 9.39725982; -7.41426253; 9.41045064; 289.56219586539; 4.4014462059309
188; -7.76288833; 9.39556824; -7.71913602; 9.40734877; 74.730982363842; 4.9955055391004
189; -7.09644915; 9.38935233; -7.13782260; 9.41506644; 302.21330193391; 5.38658888116
190; -7.55144049; 9.39856242; -7.49182930; 9.41296082; 76.238012987287; 6.7636483904413
191; -7.78689993; 9.40379015; -7.83056491; 9.41750211; 287.6603811005; 5.046157829513
192; -6.97786428; 9.40062609; -7.01995873; 9.39381365; 260.68769593053; 4.7071622194681
193; -7.95628872; 9.40216108; -8.01308173; 9.41426193; 282.19187725616; 6.3969843520402
194; -6.89052160; 9.39360697; -6.92923157; 9.40468307; 286.17659356449; 4.4470365104103
195; -6.91617612; 9.39592861; -6.87668019; 9.42443733; 53.805331640198; 5.3905855904751
196; -7.64590467; 9.41195834; -7.60168044; 9.40419027; 100.09192288154; 4.9499877743572
197; -8.02020985; 9.40559992; -7.98952827; 9.43372928; 47.094728885253; 4.6040135844352
198; -7.61364801; 9.41725847; -7.66009962; 9.41472530; 266.83980593135; 5.1271121510026
199; -7.66059999; 9.42666334; -7.70811994; 9.43118132; 275.50891553903; 5.2605684350295
200; -7.65022499; 9.42499609; -7.61304533; 9.43136217; 80.150258941822; 4.1582652352495
201; -7.90045963; 9.43237714; -7.86004973; 9.42410976; 101.7131406479; 4.5448866263312
202; -6.99571860; 9.43001622; -6.93236326; 9.42910746; 90.827850864948; 6.9935479969555
203; -7.60644298; 9.44272942; -7.64686842; 9.44505749; 273.34447885718; 4.4628536707009
204; -7.06503073; 9.44070958; -7.02076998; 9.44317518; 86.764235701292; 4.8921236527178
205; -7.55723820; 9.44958385; -7.61569061; 9.45307423; 273.46896741794; 6.4543973680481
206; -6.91587357; 9.44636544; -6.87919530; 9.45970446; 69.75892189271; 4.3120442930436
207; -7.41792598; 9.44572930; -7.38181351; 9.45695711; 72.502660601278; 4.1732062733818
208; -6.98577351; 9.44948488; -6.94975143; 9.44439527; 98.14830139817; 4.0159668212486
209; -7.08302393; 9.44677456; -7.05011108; 9.47100115; 53.265932420502; 4.5219420160053
210; -7.53535484; 9.45600360; -7.49166664; 9.45039354; 97.413418013109; 4.8564271106309
211; -7.47790686; 9.47311959; -7.43957962; 9.49031106; 65.542834309481; 4.6380012550064
212; -7.69324432; 9.46367987; -7.65387897; 9.46895656; 82.257983306195; 4.3775286059703
213; -7.32874866; 9.47081281; -7.28664078; 9.47820401; 79.905948474821; 4.7163116741537
214; -7.50362614; 9.46455008; -7.42477392; 9.50163712; 64.499247847856; 9.6221787749928
215; -7.05127090; 9.45907496; -7.01399408; 9.48164602; 58.452627112394; 4.8189681034071
216; -7.44404155; 9.47025841; -7.39102350; 9.47381656; 86.103249183268; 5.8593767360189
217; -7.97900307; 9.48199116; -7.93856128; 9.48132835; 90.94862173612; 4.4542167142436
218; -7.29973774; 9.48152260; -7.35106717; 9.48827775; 277.6041969343; 5.7106021465387
219; -7.74943328; 9.49047045; -7.79591327; 9.48303738; 260.79419701405; 5.1871267245122
220; -7.86533091; 9.48001362; -7.91175070; 9.49101284; 283.51232944009; 5.2570515176554
221; -7.43965074; 9.47457890; -7.38770968; 9.48139614; 82.416129086733; 5.7772480370979
222; -7.51174752; 9.48194516; -7.55266478; 9.49784989; 291.51267390442; 4.8448517130656
223; -6.86538929; 9.48402572; -6.91781342; 9.48705320; 273.35517825452; 5.7969625821064
224; -7.16965761; 9.48954579; -7.22108009; 9.47733482; 256.46766403302; 5.8331193894969
225; -6.80961129; 9.49344282; -6.88609691; 9.49228646; 269.12811395666; 8.445118860707
226; -7.56959878; 9.49954715; -7.53131772; 9.50589869; 80.447552833457; 4.2784471708536
227; -7.47450124; 9.50185769; -7.52636920; 9.51293060; 282.21786673235; 5.8491640557223
228; -7.42477392; 9.50163712; -7.46351152; 9.51537216; 289.77697985786; 4.535968298243
229; -7.14828286; 9.50190901; -7.11055112; 9.50767356; 81.191536789508; 4.212195810554
230; -7.94066905; 9.50683703; -8.00299903; 9.49996649; 263.62809910791; 6.906185602976
231; -7.76135499; 9.51872646; -7.72308845; 9.52075878; 86.914367410487; 4.2223085202536
232; -6.89961138; 9.51568863; -6.97070343; 9.50417723; 260.68230045937; 7.9509454386224
233; -7.42740202; 9.52443377; -7.47707736; 9.53713190; 284.53539615385; 5.6560639223402
234; -6.91595468; 9.52337949; -6.86785183; 9.52742733; 85.119005287356; 5.3291852324601
235; -8.07504190; 9.53923331; -8.11495968; 9.53445339; 263.08021347392; 4.426453108752
236; -7.20275898; 9.53311223; -7.13990249; 9.53603682; 87.293593951832; 6.9422672028248
237; -7.36613736; 9.53662914; -7.41047613; 9.52110208; 250.4541824529; 5.1851982314064
238; -7.42628420; 9.52985367; -7.47432307; 9.54200240; 284.38682267662; 5.4661367795917
239; -7.01422119; 9.53697005; -7.06120145; 9.53886197; 272.34226774531; 5.1888736096646
240; -7.79518258; 9.53566473; -7.74592666; 9.55285299; 70.509266154044; 5.7534426848625
241; -7.76451325; 9.55237695; -7.70381584; 9.55866670; 83.996183752725; 6.7243162808961
242; -7.39840062; 9.53243909; -7.44258300; 9.55108432; 293.17101933142; 5.2945213194477
243; -7.74542373; 9.54091474; -7.69016942; 9.55373256; 76.758003802371; 6.2529460497515
244; -7.36280665; 9.54746306; -7.31419245; 9.54234871; 96.085234423692; 5.3914499124269
245; -7.09664252; 9.55261762; -7.13543379; 9.55391264; 271.94215879114; 4.2825890454386
246; -6.84095636; 9.54732771; -6.78684895; 9.55024148; 86.869797464103; 5.9827524399253
247; -7.01247199; 9.55594331; -7.05240671; 9.54803352; 258.6464103115; 4.4940383937336
248; -7.34742347; 9.56420702; -7.31023595; 9.56891027; 82.688196582698; 4.1344909027087
249; -7.34145375; 9.55549901; -7.28836972; 9.56988806; 74.62565892833; 6.0693252706761
250; -7.38948856; 9.56820201; -7.34145375; 9.55549901; 105.00834248525; 5.482246242069
251; -7.72017551; 9.56903596; -7.66004533; 9.56935165; 89.689951191902; 6.626129665944
252; -7.10694078; 9.56786123; -7.04300615; 9.56750671; 90.316872184207; 7.055184810955
253; -7.61903221; 9.57353124; -7.66056644; 9.57586423; 273.26371758267; 4.584744961721
254; -7.68788109; 9.58030902; -7.73327646; 9.57396706; 261.93980098408; 5.0515594919286
255; -6.80146735; 9.57094194; -6.83909126; 9.58310933; 288.1608643454; 4.3687585743126
256; -6.88617246; 9.56875658; -6.92500268; 9.56302503; 261.49001384499; 4.3335214113004
257; -8.03340233; 9.57276237; -7.98797914; 9.58891112; 70.169617770577; 5.3141149185766
258; -7.03859730; 9.57399046; -7.08284194; 9.57749217; 274.59255158237; 4.8979711318242
259; -7.35119162; 9.57615937; -7.39601147; 9.57582701; 269.57285741117; 4.9426641692012
260; -7.68728647; 9.59278547; -7.64779400; 9.62627123; 49.302187427572; 5.7275490777898
261; -7.82229546; 9.59869663; -7.87151630; 9.59343471; 263.81618557348; 5.45333823635
262; -7.53694225; 9.59652320; -7.42310364; 9.62694544; 74.825131880204; 12.998449111121
263; -7.71626351; 9.59180897; -7.76103490; 9.60716386; 289.18307384684; 5.2201308396719
264; -7.76433671; 9.60120743; -7.72164057; 9.61570144; 70.997909085312; 4.9727210729324
265; -6.93733716; 9.60160560; -6.89299416; 9.61435450; 73.739786429064; 5.0959946823441
266; -7.70587285; 9.59285542; -7.66149786; 9.61710136; 61.003011591073; 5.5839378261904
267; -7.03454715; 9.61301918; -6.98588930; 9.61599323; 86.44857075438; 5.3802317327977
268; -7.36576648; 9.61420176; -7.31929705; 9.61560629; 88.240241577658; 5.1271720528727
269; -7.91188710; 9.62015100; -7.95725733; 9.62354654; 274.34470666311; 5.0108854572104
270; -8.02835849; 9.61615734; -7.98399671; 9.64098961; 60.409877208031; 5.6111394402291
271; -7.94139292; 9.62621126; -7.90092416; 9.62879775; 86.287534230118; 4.4662549182918
272; -6.79074919; 9.62293503; -6.87436369; 9.62237536; 269.61801475486; 9.2316851872583
273; -7.46017757; 9.64881282; -7.53182361; 9.64261550; 264.99173881851; 7.9285947871383
274; -7.08194112; 9.64040534; -7.13334920; 9.63526349; 264.21134162097; 5.7011314894684
275; -7.81557645; 9.64425012; -7.85440076; 9.64329621; 268.57561606307; 4.2780804238772
276; -7.22349414; 9.64387625; -7.26456029; 9.63052431; 251.75157532651; 4.7669933046939
277; -6.85084855; 9.62494140; -6.77914280; 9.64292562; 75.721082059178; 8.1656331639408
278; -7.43835246; 9.63949215; -7.39127754; 9.65229526; 74.573296719642; 5.3824091895193
279; -7.01851820; 9.64384319; -7.05848535; 9.63213816; 253.45881073068; 4.5986810382046
280; -6.99883599; 9.64481417; -7.04320707; 9.62771274; 248.65147880755; 5.2531048892199
281; -7.80350361; 9.65668759; -7.85165038; 9.64817030; 259.83097871188; 5.3876874834788
282; -7.76251300; 9.65165956; -7.80346719; 9.66699635; 290.80381626741; 4.8234811711266
283; -7.39458843; 9.64580092; -7.43827002; 9.65739408; 285.0711510678; 4.9860611633515
284; -7.08399864; 9.66319748; -7.04730444; 9.67546593; 71.261970312009; 4.2728467763959
285; -7.42618466; 9.66981631; -7.47542155; 9.66298572; 261.99366668217; 5.4815403799476
286; -7.87068277; 9.67970315; -7.91663281; 9.67496786; 264.03580420362; 5.0883141527034
287; -7.05823053; 9.67661266; -7.09201712; 9.69524360; 299.22568400662; 4.2652021472785
288; -7.83294775; 9.68066213; -7.79196698; 9.67183927; 102.31649317994; 4.6199251506238
289; -8.08503894; 9.68413955; -8.05118597; 9.66505614; 119.76011713293; 4.2887602863814
290; -8.03747019; 9.68075378; -8.07736339; 9.69117303; 284.84320616337; 4.5423658147399
291; -7.47970509; 9.68307731; -7.42718976; 9.68880808; 83.678446473861; 5.8250577745663
